Company,CompanyLocation,Year,BeanOrigin,Continent,CocoaPercent,CocoaBin,IngredientCount,IngredientInitials,Rating
5150,U.S.A.,2019,Tanzania,Africa,76.0,70-80%,3,"B,S,C",3.25
5150,U.S.A.,2019,Dominican Republic,North America,76.0,70-80%,3,"B,S,C",3.5
5150,U.S.A.,2019,Madagascar,Africa,76.0,70-80%,3,"B,S,C",3.75
5150,U.S.A.,2021,Fiji,Oceania,68.0,60-70%,3,"B,S,C",3.0
5150,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",3.0
5150,U.S.A.,2021,Uganda,Africa,80.0,70-80%,3,"B,S,C",3.25
5150,U.S.A.,2021,India,Asia,68.0,60-70%,3,"B,S,C",3.5
A. Morin,France,2012,Bolivia,South America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2012,Peru,South America,63.0,60-70%,4,"B,S,C,L",3.75
A. Morin,France,2013,Panama,North America,70.0,60-70%,4,"B,S,C,L",2.75
A. Morin,France,2013,Colombia,South America,70.0,60-70%,4,"B,S,C,L",2.75
A. Morin,France,2013,Madagascar,Africa,70.0,60-70%,4,"B,S,C,L",3.0
A. Morin,France,2013,Burma,Asia,70.0,60-70%,4,"B,S,C,L",3.0
A. Morin,France,2013,Brazil,South America,70.0,60-70%,4,"B,S,C,L",3.25
A. Morin,France,2013,Papua New Guinea,Oceania,70.0,60-70%,4,"B,S,C,L",3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2013,Ecuador,South America,70.0,60-70%,4,"B,S,C,L",3.75
A. Morin,France,2013,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",4.0
A. Morin,France,2013,Peru,South America,63.0,60-70%,3,"B,S,C",4.0
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",2.75
A. Morin,France,2014,Cuba,North America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.75
A. Morin,France,2014,Peru,South America,70.0,60-70%,4,"B,S,C,L",4.0
A. Morin,France,2015,Togo,Africa,70.0,60-70%,4,"B,S,C,L",2.75
A. Morin,France,2015,Togo,Africa,70.0,60-70%,4,"B,S,C,L",3.0
A. Morin,France,2015,Togo,Africa,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2015,Peru,South America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2016,Sao Tome,Africa,63.0,60-70%,4,"B,S,C,L",3.75
A. Morin,France,2018,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",3.5
A. Morin,France,2018,Peru,South America,63.0,60-70%,4,"B,S,C,L",3.75
A. Morin,France,2021,Mexico,North America,70.0,60-70%,4,"B,S,C,L",4.0
Acalli,U.S.A.,2015,Peru,South America,70.0,60-70%,2,"B,S",3.75
Acalli,U.S.A.,2015,Peru,South America,70.0,60-70%,2,"B,S",3.75
Acalli,U.S.A.,2020,Mexico,North America,74.0,70-80%,2,"B,S",3.25
Acalli,U.S.A.,2020,Peru,South America,70.0,60-70%,2,"B,S",3.5
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Oceania,60.0,50-60%,3,"B,S,C",2.75
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Oceania,80.0,70-80%,3,"B,S,C",3.25
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Oceania,88.0,80-90%,3,"B,S,C",3.5
Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Oceania,72.0,70-80%,3,"B,S,C",3.5
Aelan,Vanuatu,2019,Vanuatu,Oceania,70.0,60-70%,2,"B,S",2.5
Aelan,Vanuatu,2019,Vanuatu,Oceania,70.0,60-70%,2,"B,S",2.75
Aelan,Vanuatu,2019,Vanuatu,Oceania,70.0,60-70%,2,"B,S",2.75
Aelan,Vanuatu,2019,Vanuatu,Oceania,70.0,60-70%,2,"B,S",3.0
Aequare (Gianduja),Ecuador,2009,Ecuador,South America,55.0,50-60%,4,"B,S,C,V",2.75
Aequare (Gianduja),Ecuador,2009,Ecuador,South America,70.0,60-70%,4,"B,S,C,V",3.0
Ah Cacao,Mexico,2009,Mexico,North America,70.0,60-70%,3,"B,S,C",3.0
Akesson's (Pralus),U.K.,2010,Madagascar,Africa,75.0,70-80%,4,"B,S,C,L",2.75
Akesson's (Pralus),U.K.,2010,Brazil,South America,75.0,70-80%,4,"B,S,C,L",2.75
Akesson's (Pralus),U.K.,2011,Indonesia,Asia,75.0,70-80%,4,"B,S,C,L",3.75
Alain Ducasse,France,2013,Venezuela,South America,75.0,70-80%,5,"B,S,C,V,L",2.5
Alain Ducasse,France,2013,Peru,South America,75.0,70-80%,5,"B,S,C,V,L",2.5
Alain Ducasse,France,2014,Trinidad,North America,65.0,60-70%,6,"B,S,C,V,L,Sa",2.75
Alain Ducasse,France,2014,Vietnam,Asia,75.0,70-80%,5,"B,S,C,V,Sa",2.75
Alain Ducasse,France,2014,Madagascar,Africa,75.0,70-80%,5,"B,S,C,V,Sa",3.0
