Company,CompanyLocation,Year,BeanOrigin,Continent,CocoaPercent,CocoaBin,IngredientCount,IngredientInitials,Characteristic,Rating
5150,U.S.A.,2019,Tanzania,Africa,76.0,70-80%,3,"B,S,C",rich cocoa,3.25
5150,U.S.A.,2019,Tanzania,Africa,76.0,70-80%,3,"B,S,C",fatty,3.25
5150,U.S.A.,2019,Tanzania,Africa,76.0,70-80%,3,"B,S,C",bready,3.25
5150,U.S.A.,2019,Dominican Republic,North America,76.0,70-80%,3,"B,S,C",cocoa,3.5
5150,U.S.A.,2019,Dominican Republic,North America,76.0,70-80%,3,"B,S,C",vegetal,3.5
5150,U.S.A.,2019,Dominican Republic,North America,76.0,70-80%,3,"B,S,C",savory,3.5
5150,U.S.A.,2019,Madagascar,Africa,76.0,70-80%,3,"B,S,C",cocoa,3.75
5150,U.S.A.,2019,Madagascar,Africa,76.0,70-80%,3,"B,S,C",blackberry,3.75
5150,U.S.A.,2021,Fiji,Oceania,68.0,60-70%,3,"B,S,C",chewy,3.0
5150,U.S.A.,2021,Fiji,Oceania,68.0,60-70%,3,"B,S,C",off,3.0
5150,U.S.A.,2021,Fiji,Oceania,68.0,60-70%,3,"B,S,C",rubbery,3.0
5150,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",fatty,3.0
5150,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",earthy,3.0
5150,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",nutty,3.0
5150,U.S.A.,2021,Venezuela,South America,72.0,70-80%,3,"B,S,C",chalky,3.0
5150,U.S.A.,2021,Uganda,Africa,80.0,70-80%,3,"B,S,C",basic cocoa,3.25
5150,U.S.A.,2021,Uganda,Africa,80.0,70-80%,3,"B,S,C",fatty,3.25
5150,U.S.A.,2021,India,Asia,68.0,60-70%,3,"B,S,C",chewy,3.5
A. Morin,France,2012,Bolivia,South America,70.0,60-70%,4,"B,S,C,L",vegetal,3.5
A. Morin,France,2012,Bolivia,South America,70.0,60-70%,4,"B,S,C,L",nutty,3.5
A. Morin,France,2012,Peru,South America,63.0,60-70%,4,"B,S,C,L",fruity,3.75
A. Morin,France,2012,Peru,South America,63.0,60-70%,4,"B,S,C,L",melon,3.75
A. Morin,France,2012,Peru,South America,63.0,60-70%,4,"B,S,C,L",roasty,3.75
A. Morin,France,2013,Panama,North America,70.0,60-70%,4,"B,S,C,L",earthy,2.75
A. Morin,France,2013,Panama,North America,70.0,60-70%,4,"B,S,C,L",nutty,2.75
A. Morin,France,2013,Colombia,South America,70.0,60-70%,4,"B,S,C,L",burnt rubber,2.75
A. Morin,France,2013,Madagascar,Africa,70.0,60-70%,4,"B,S,C,L",sticky,3.0
A. Morin,France,2013,Madagascar,Africa,70.0,60-70%,4,"B,S,C,L",red fruit,3.0
A. Morin,France,2013,Madagascar,Africa,70.0,60-70%,4,"B,S,C,L",sour,3.0
A. Morin,France,2013,Burma,Asia,70.0,60-70%,4,"B,S,C,L",sticky,3.0
A. Morin,France,2013,Burma,Asia,70.0,60-70%,4,"B,S,C,L",smokey,3.0
A. Morin,France,2013,Burma,Asia,70.0,60-70%,4,"B,S,C,L",grass,3.0
A. Morin,France,2013,Papua New Guinea,Oceania,70.0,60-70%,4,"B,S,C,L",mild fruit,3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",green,3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",nutty,3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",cocoa,3.25
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",cocoa,3.5
A. Morin,France,2013,Peru,South America,70.0,60-70%,4,"B,S,C,L",sour,3.5
A. Morin,France,2013,Ecuador,South America,70.0,60-70%,4,"B,S,C,L",sandy,3.75
A. Morin,France,2013,Ecuador,South America,70.0,60-70%,4,"B,S,C,L",nutty,3.75
A. Morin,France,2013,Ecuador,South America,70.0,60-70%,4,"B,S,C,L",cocoa,3.75
A. Morin,France,2013,Ecuador,South America,70.0,60-70%,4,"B,S,C,L",fig,3.75
A. Morin,France,2013,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",oily,4.0
A. Morin,France,2013,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",nut,4.0
A. Morin,France,2013,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",caramel,4.0
A. Morin,France,2013,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",raspberry,4.0
A. Morin,France,2013,Peru,South America,63.0,60-70%,3,"B,S,C",sweet,4.0
A. Morin,France,2013,Peru,South America,63.0,60-70%,3,"B,S,C",cocoa,4.0
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",harsh,2.75
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",leather,2.75
A. Morin,France,2014,Venezuela,South America,70.0,60-70%,4,"B,S,C,L",earthy,2.75
